Dataset,Feature_Noise,Label_Noise,Model,C,k,Train Acc,Test Acc
breast_cancer,5%,5%,SKiP-multiply,10.0,5.0,0.5960502692998204,0.6
breast_cancer,5%,5%,SKiP-multiply-minmax,10.0,5.0,0.5960502692998204,0.6
breast_cancer,5%,5%,SKiP-average,10.0,5.0,0.9048473967684022,0.8714285714285714
breast_cancer,5%,5%,SKiP-average-minmax,10.0,5.0,0.9048473967684022,0.8714285714285714
breast_cancer,5%,5%,KNNSVM,100.0,5.0,0.9102333931777379,0.8785714285714286
breast_cancer,5%,5%,SKiP-multiply,100.0,5.0,0.599640933572711,0.6
breast_cancer,5%,5%,SKiP-multiply-minmax,100.0,5.0,0.599640933572711,0.6
breast_cancer,5%,5%,SKiP-average,100.0,5.0,0.9120287253141831,0.8714285714285714
breast_cancer,5%,5%,SKiP-average-minmax,100.0,5.0,0.9120287253141831,0.8714285714285714
breast_cancer,5%,10%,NaiveSVM,0.1,,0.8438061041292639,0.8357142857142857
breast_cancer,5%,10%,ProbSVM,0.1,,0.5978456014362658,0.6
breast_cancer,5%,10%,NaiveSVM,1.0,,0.8491921005385996,0.8357142857142857
breast_cancer,5%,10%,ProbSVM,1.0,,0.5978456014362658,0.6
breast_cancer,5%,10%,NaiveSVM,10.0,,0.8456014362657092,0.8571428571428571
breast_cancer,5%,10%,ProbSVM,10.0,,0.6265709156193896,0.6285714285714286
breast_cancer,5%,10%,NaiveSVM,100.0,,0.8402154398563735,0.85
breast_cancer,5%,10%,ProbSVM,100.0,,0.8132854578096947,0.8071428571428572
breast_cancer,5%,10%,KNNSVM,0.1,5.0,0.8527827648114902,0.8357142857142857
breast_cancer,5%,10%,SKiP-multiply,0.1,5.0,0.5978456014362658,0.6
breast_cancer,5%,10%,SKiP-multiply-minmax,0.1,5.0,0.5978456014362658,0.6
breast_cancer,5%,10%,SKiP-average,0.1,5.0,0.8491921005385996,0.8285714285714286
breast_cancer,5%,10%,SKiP-average-minmax,0.1,5.0,0.8491921005385996,0.8285714285714286
breast_cancer,5%,10%,KNNSVM,1.0,5.0,0.8581687612208259,0.8428571428571429
breast_cancer,5%,10%,SKiP-multiply,1.0,5.0,0.5978456014362658,0.6
breast_cancer,5%,10%,SKiP-multiply-minmax,1.0,5.0,0.5978456014362658,0.6
breast_cancer,5%,10%,SKiP-average,1.0,5.0,0.8545780969479354,0.8357142857142857
breast_cancer,5%,10%,SKiP-average-minmax,1.0,5.0,0.8545780969479354,0.8357142857142857
breast_cancer,5%,10%,KNNSVM,10.0,5.0,0.8617594254937163,0.8571428571428571
breast_cancer,5%,10%,SKiP-multiply,10.0,5.0,0.6157989228007181,0.6285714285714286
breast_cancer,5%,10%,SKiP-multiply-minmax,10.0,5.0,0.6157989228007181,0.6285714285714286
breast_cancer,5%,10%,SKiP-average,10.0,5.0,0.8581687612208259,0.8714285714285714
breast_cancer,5%,10%,SKiP-average-minmax,10.0,5.0,0.8527827648114902,0.8714285714285714
breast_cancer,5%,10%,KNNSVM,100.0,5.0,0.8186714542190305,0.8357142857142857
breast_cancer,5%,10%,SKiP-multiply,100.0,5.0,0.8114901256732495,0.8142857142857143
breast_cancer,5%,10%,SKiP-multiply-minmax,100.0,5.0,0.8114901256732495,0.8142857142857143
breast_cancer,5%,10%,SKiP-average,100.0,5.0,0.8545780969479354,0.8785714285714286
breast_cancer,5%,10%,SKiP-average-minmax,100.0,5.0,0.8509874326750448,0.8785714285714286
breast_cancer,5%,15%,NaiveSVM,0.1,,0.7989228007181328,0.8142857142857143
breast_cancer,5%,15%,ProbSVM,0.1,,0.5673249551166966,0.5714285714285714
breast_cancer,5%,15%,NaiveSVM,1.0,,0.7953321364452424,0.85
breast_cancer,5%,15%,ProbSVM,1.0,,0.5673249551166966,0.5714285714285714
breast_cancer,5%,15%,NaiveSVM,10.0,,0.7953321364452424,0.85
breast_cancer,5%,15%,ProbSVM,10.0,,0.5816876122082585,0.5714285714285714
breast_cancer,5%,15%,NaiveSVM,100.0,,0.7953321364452424,0.8214285714285714
breast_cancer,5%,15%,ProbSVM,100.0,,0.7540394973070018,0.7785714285714286
breast_cancer,5%,15%,KNNSVM,0.1,5.0,0.7989228007181328,0.8428571428571429
breast_cancer,5%,15%,SKiP-multiply,0.1,5.0,0.5673249551166966,0.5714285714285714
breast_cancer,5%,15%,SKiP-multiply-minmax,0.1,5.0,0.5673249551166966,0.5714285714285714
breast_cancer,5%,15%,SKiP-average,0.1,5.0,0.7989228007181328,0.8285714285714286
breast_cancer,5%,15%,SKiP-average-minmax,0.1,5.0,0.7989228007181328,0.8285714285714286
breast_cancer,5%,15%,KNNSVM,1.0,5.0,0.8043087971274686,0.8428571428571429
breast_cancer,5%,15%,SKiP-multiply,1.0,5.0,0.5673249551166966,0.5714285714285714
breast_cancer,5%,15%,SKiP-multiply-minmax,1.0,5.0,0.5673249551166966,0.5714285714285714
breast_cancer,5%,15%,SKiP-average,1.0,5.0,0.8043087971274686,0.8428571428571429
breast_cancer,5%,15%,SKiP-average-minmax,1.0,5.0,0.8043087971274686,0.8428571428571429
breast_cancer,5%,15%,KNNSVM,10.0,5.0,0.8114901256732495,0.8642857142857143
breast_cancer,5%,15%,SKiP-multiply,10.0,5.0,0.5745062836624776,0.5714285714285714
breast_cancer,5%,15%,SKiP-multiply-minmax,10.0,5.0,0.5709156193895871,0.5714285714285714
breast_cancer,5%,15%,SKiP-average,10.0,5.0,0.800718132854578,0.8642857142857143
breast_cancer,5%,15%,SKiP-average-minmax,10.0,5.0,0.8168761220825853,0.8571428571428571
breast_cancer,5%,15%,KNNSVM,100.0,5.0,0.8025134649910234,0.8357142857142857
breast_cancer,5%,15%,SKiP-multiply,100.0,5.0,0.7522441651705566,0.8
breast_cancer,5%,15%,SKiP-multiply-minmax,100.0,5.0,0.7522441651705566,0.8
breast_cancer,5%,15%,SKiP-average,100.0,5.0,0.8150807899461401,0.85
breast_cancer,5%,15%,SKiP-average-minmax,100.0,5.0,0.8132854578096947,0.8571428571428571
breast_cancer,5%,20%,NaiveSVM,0.1,,0.7414721723518851,0.8071428571428572
breast_cancer,5%,20%,ProbSVM,0.1,,0.5637342908438061,0.5642857142857143
breast_cancer,5%,20%,NaiveSVM,1.0,,0.7504488330341114,0.8
breast_cancer,5%,20%,ProbSVM,1.0,,0.7307001795332136,0.7857142857142857
breast_cancer,5%,20%,NaiveSVM,10.0,,0.7504488330341114,0.8071428571428572
breast_cancer,5%,20%,ProbSVM,10.0,,0.7432675044883303,0.8071428571428572
breast_cancer,5%,20%,NaiveSVM,100.0,,0.7468581687612208,0.8071428571428572
breast_cancer,5%,20%,ProbSVM,100.0,,0.7324955116696589,0.7785714285714286
breast_cancer,5%,20%,KNNSVM,0.1,5.0,0.755834829443447,0.8214285714285714
breast_cancer,5%,20%,SKiP-multiply,0.1,5.0,0.5655296229802513,0.5642857142857143
breast_cancer,5%,20%,SKiP-multiply-minmax,0.1,5.0,0.5655296229802513,0.5642857142857143
breast_cancer,5%,20%,SKiP-average,0.1,5.0,0.7468581687612208,0.8285714285714286
breast_cancer,5%,20%,SKiP-average-minmax,0.1,5.0,0.7468581687612208,0.8285714285714286
breast_cancer,5%,20%,KNNSVM,1.0,5.0,0.7594254937163375,0.8071428571428572
breast_cancer,5%,20%,SKiP-multiply,1.0,5.0,0.7235188509874326,0.7714285714285715
breast_cancer,5%,20%,SKiP-multiply-minmax,1.0,5.0,0.7235188509874326,0.7714285714285715
breast_cancer,5%,20%,SKiP-average,1.0,5.0,0.755834829443447,0.8071428571428572
breast_cancer,5%,20%,SKiP-average-minmax,1.0,5.0,0.7594254937163375,0.8071428571428572
breast_cancer,5%,20%,KNNSVM,10.0,5.0,0.7648114901256733,0.8071428571428572
breast_cancer,5%,20%,SKiP-multiply,10.0,5.0,0.7396768402154399,0.8
breast_cancer,5%,20%,SKiP-multiply-minmax,10.0,5.0,0.7414721723518851,0.8
breast_cancer,5%,20%,SKiP-average,10.0,5.0,0.770197486535009,0.8071428571428572
breast_cancer,5%,20%,SKiP-average-minmax,10.0,5.0,0.770197486535009,0.8071428571428572
breast_cancer,5%,20%,KNNSVM,100.0,5.0,0.7737881508078994,0.7928571428571428
breast_cancer,5%,20%,SKiP-multiply,100.0,5.0,0.748653500897666,0.7857142857142857
breast_cancer,5%,20%,SKiP-multiply-minmax,100.0,5.0,0.748653500897666,0.7857142857142857
breast_cancer,5%,20%,SKiP-average,100.0,5.0,0.7755834829443446,0.7928571428571428
breast_cancer,5%,20%,SKiP-average-minmax,100.0,5.0,0.770197486535009,0.8
breast_cancer,10%,0%,NaiveSVM,0.1,,0.9191290824261276,0.9254658385093167
breast_cancer,10%,0%,ProbSVM,0.1,,0.6049766718506998,0.6024844720496895
breast_cancer,10%,0%,NaiveSVM,1.0,,0.9237947122861586,0.9130434782608695
breast_cancer,10%,0%,ProbSVM,1.0,,0.6049766718506998,0.6024844720496895
breast_cancer,10%,0%,NaiveSVM,10.0,,0.9284603421461898,0.906832298136646
breast_cancer,10%,0%,ProbSVM,10.0,,0.6049766718506998,0.6024844720496895
breast_cancer,10%,0%,NaiveSVM,100.0,,0.9020217729393468,0.8819875776397516
breast_cancer,10%,0%,ProbSVM,100.0,,0.6049766718506998,0.6211180124223602
breast_cancer,10%,0%,KNNSVM,0.1,5.0,0.9160186625194401,0.9130434782608695
breast_cancer,10%,0%,SKiP-multiply,0.1,5.0,0.6049766718506998,0.6024844720496895
breast_cancer,10%,0%,SKiP-multiply-minmax,0.1,5.0,0.6049766718506998,0.6024844720496895
breast_cancer,10%,0%,SKiP-average,0.1,5.0,0.9160186625194401,0.9130434782608695
breast_cancer,10%,0%,SKiP-average-minmax,0.1,5.0,0.9160186625194401,0.9130434782608695
breast_cancer,10%,0%,KNNSVM,1.0,5.0,0.9237947122861586,0.9192546583850931
breast_cancer,10%,0%,SKiP-multiply,1.0,5.0,0.6049766718506998,0.6024844720496895
breast_cancer,10%,0%,SKiP-multiply-minmax,1.0,5.0,0.6049766718506998,0.6024844720496895
